run_dir,Platform,Device,Algorithm,Threads,Governor,cpu_freq_max,gpu_freq_max,core_freq_min,policy6_freq,core_freq,cores_online,Device,gpu_freq_min,TestName,policy4_freq_min,gpu_governor,policy6_freq_max,arm_freq_min,Config_ID,v3d_freq,policy0_freq,policy6_freq_min,cpu_freq,dmc_freq_max,policy0_freq_min,over_voltage,governor,policy4_freq,policy0_freq_max,policy4_freq_max,dmc_freq_min,over_voltage_min,cpu_governor,dmc_freq,cpu_freq_min,gpu_freq,Config_Name,v3d_freq_min,dmc_governor,arm_freq,emc_max_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq700\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,73990.158808,7959.1009,8059.95787,3.2133333333333334,4.102702702702702
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq700\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,81750.929359,7929.215457,8023.561641,3.2066666666666666,4.152083333333333
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq750\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,79722.939546,7634.677579,7736.467458,3.26,4.218604651162791
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq750\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,78942.817953,7647.511241,7745.259798,3.3333333333333335,4.113953488372093
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq750\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,78554.647601,7609.146918,7706.634882,3.2,4.162790697674419
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq750\run4,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,78684.418064,7622.032914,7717.230767,3.193333333333334,4.116279069767442
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq750\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,78813.347601,7635.996208,7733.282977,3.3,4.130232558139535
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq750\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,78836.645175,7637.916159,7736.318668,3.3,4.132558139534884
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq800\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,76887.124639,7351.269779,7450.624996,3.2733333333333334,4.251351351351351
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq800\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,75787.074491,7333.291014,7429.107033,3.2333333333333334,4.1567567567567565
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq800\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,76061.384528,7359.764761,7457.143343,3.2,4.208108108108108
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq800\run4,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,76085.609918,7362.136008,7460.538459,3.2866666666666666,4.286486486486487
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq800\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,76049.417955,7359.275457,7456.316154,3.2133333333333334,4.178571428571429
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq800\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,76062.955936,7358.917357,7457.901267,3.2133333333333334,4.1432432432432424
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq850\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,74828.267418,7147.206576,7246.391656,3.2133333333333334,4.259375
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq850\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,73682.284808,7122.134039,7220.585714,3.26,4.109375
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq850\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,102898.345735,7145.264304,7245.789248,3.22,4.165789473684211
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq850\run4,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,73666.169511,7120.030228,7218.423615,3.2,4.240625
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq850\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,73912.318789,7145.172013,7246.485173,3.2266666666666666,4.253125
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq850\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,73676.153734,7121.513779,7215.902979,3.24,4.215625
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq900\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,72391.458346,6904.993454,7002.59764,3.226666666666667,4.18125
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq900\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,71669.615272,6921.642641,7022.295294,3.2933333333333334,4.184848484848485
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq900\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,71695.923531,6920.499852,7020.835393,3.2733333333333334,4.275
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq900\run4,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,85404.15606,6895.547166,6992.708425,3.246666666666667,4.208823529411765
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq900\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,71392.799291,6894.005294,6990.863199,3.2133333333333334,4.2375
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq900\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,85635.445764,6914.28402,7012.925233,3.26,4.3
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq960\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,70217.769143,6687.886405,6786.458801,3.22,4.284375
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq960\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,69514.004792,6702.341211,6806.030097,3.2,4.290322580645161
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq960\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,69274.723144,6681.01362,6779.435173,3.306666666666666,4.280645161290322
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq960\run4,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,68959.695237,6651.475544,6748.091675,3.2133333333333334,4.220689655172414
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq960\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,69336.043366,6688.26529,6787.549914,3.24,4.236666666666666
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq960\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,performance,0,0,960,0,960,0,RaspberryPiComputeModule5,0,KMeams-OpenCL-RPI,0,0,0,2400,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,,69121.500626,6666.805937,6764.111208,3.246666666666667,4.248387096774193
bench_logs\2026-06-01\KMeans-OpenMP-PI-t1\arm_freq1500\run1,OpenMP,RaspberryPiComputeModule5,KMeans,1,performance,0,0,910,0,910,0,RaspberryPiComputeModule5,0,KMeans-OpenMP-PI-t1,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1500,0,,60825.194149,5327.975427,5327.97726,2.753333333333333,3.641666666666667
bench_logs\2026-06-01\KMeans-OpenMP-PI-t1\arm_freq1500\run2,OpenMP,RaspberryPiComputeModule5,KMeans,1,performance,0,0,910,0,910,0,RaspberryPiComputeModule5,0,KMeans-OpenMP-PI-t1,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1500,0,,60581.552889,5322.826982,5322.828737,2.72,3.6208333333333336
bench_logs\2026-06-01\KMeans-OpenMP-PI-t1\arm_freq1500\run3,OpenMP,RaspberryPiComputeModule5,KMeans,1,performance,0,0,910,0,910,0,RaspberryPiComputeModule5,0,KMeans-OpenMP-PI-t1,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1500,0,,65982.537072,5326.695626,5326.697386,2.7266666666666666,3.5903225806451613
bench_logs\2026-06-01\KMeans-OpenMP-PI-t1\arm_freq1500\run4,OpenMP,RaspberryPiComputeModule5,KMeans,1,performance,0,0,910,0,910,0,RaspberryPiComputeModule5,0,KMeans-OpenMP-PI-t1,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1500,0,,60581.057779,5323.288915,5323.290745,2.7133333333333334,3.648
bench_logs\2026-06-01\KMeans-OpenMP-PI-t1\arm_freq1500\run5,OpenMP,RaspberryPiComputeModule5,KMeans,1,performance,0,0,910,0,910,0,RaspberryPiComputeModule5,0,KMeans-OpenMP-PI-t1,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1500,0,,60632.688056,5325.533916,5325.535771,2.753333333333333,3.58
bench_logs\2026-06-01\KMeans-OpenMP-PI-t1\arm_freq1500\run6,OpenMP,RaspberryPiComputeModule5,KMeans,1,performance,0,0,910,0,910,0,RaspberryPiComputeModule5,0,KMeans-OpenMP-PI-t1,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1500,0,,60572.338908,5322.662538,5322.664345,2.6666666666666665,3.608333333333334
